model_name,feature,importance,importance_type
random_forest,critical_ticket_count,0.0017111378117179096,native_feature_importance
random_forest,customer_value_segment_emerging_value,0.0016580657085063571,native_feature_importance
random_forest,customer_value_segment_established_value,0.0015297300873632262,native_feature_importance
random_forest,primary_ticket_channel_email,0.0015099408606604136,native_feature_importance
random_forest,activity_status_inactive_90_plus_days,0.0015032104915155848,native_feature_importance
random_forest,low_satisfaction_rate,0.0013998187731946155,native_feature_importance
random_forest,tenure_segment_13_24_months,0.001361970692944734,native_feature_importance
random_forest,primary_ticket_type_billing_inquiry,0.0013466287084767082,native_feature_importance
random_forest,activity_status_active_0_30_days,0.0013238298654739964,native_feature_importance
random_forest,primary_ticket_priority_nan,0.0013054134305533023,native_feature_importance
random_forest,primary_ticket_priority_critical,0.0012989918494782289,native_feature_importance
random_forest,primary_ticket_type_product_inquiry,0.0012848775767182441,native_feature_importance
random_forest,primary_ticket_priority_high,0.0012339132657476547,native_feature_importance
random_forest,primary_ticket_type_refund_request,0.001196717174318861,native_feature_importance
random_forest,tenure_segment_7_12_months,0.0011664600387771224,native_feature_importance
random_forest,countries_count,0.0011396434256067476,native_feature_importance
random_forest,primary_ticket_channel_phone,0.001137432248193899,native_feature_importance
random_forest,primary_ticket_priority_medium,0.0011320995399891763,native_feature_importance
random_forest,primary_ticket_type_cancellation_request,0.0011314132109772716,native_feature_importance
random_forest,primary_ticket_type_nan,0.001121286490913911,native_feature_importance
random_forest,primary_ticket_channel_nan,0.0011070508890279193,native_feature_importance
random_forest,primary_activity_country_united_kingdom,0.001089573569422505,native_feature_importance
random_forest,has_support_flag,0.0010680024113825992,native_feature_importance
random_forest,primary_ticket_priority_low,0.0010651127033129715,native_feature_importance
random_forest,primary_ticket_channel_social_media,0.0010140246858223287,native_feature_importance
random_forest,phone_service_yes,0.0009636177023630676,native_feature_importance
random_forest,primary_ticket_type_technical_issue,0.000940341308741813,native_feature_importance
random_forest,multiple_lines_no_phone_service,0.0008906838317690819,native_feature_importance
random_forest,low_satisfaction_ticket_count,0.0007853831497334064,native_feature_importance
random_forest,phone_service_no,0.0007823226619096856,native_feature_importance
random_forest,activity_status_no_activity,0.00031901362626702374,native_feature_importance
random_forest,no_activity_flag,0.0002913144075639588,native_feature_importance
random_forest,primary_activity_country_nan,0.0002909639795612725,native_feature_importance
random_forest,has_activity_flag,0.0002799054510951956,native_feature_importance
